PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_price,Sale_year
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2.0,1913,0,3476,4,9,1,0,5040,42000,2002
Residential,3190434000,1908 E WEBSTER PL,,3,3170,Rm or Rooming House,Frame,2.0,1897,0,1992,4,2,2,0,2880,145000,2002
Residential,3891722000,812 N 25TH ST,,4,3040,Rm or Rooming House,Frame,2.0,1907,0,2339,6,0,1,0,3185,30000,2002
Residential,3880628000,959 N 34TH ST,,4,2300,AP 1,Frame,2.0,1890,0,2329,4,4,1,0,5781,66500,2002
Residential,3880406000,3209 W WELLS ST,,4,2300,Mansion,Stone,2.5,1891,0,7450,2,7,6,0,15600,150500,2002
Residential,4689939000,2143 S 11TH ST,,12,4120,Duplex O/S,Frame,1.5,1906,0,2462,2,3,2,0,5075,75000,2002
Residential,3900518000,1116 N 13TH ST,,4,3040,Rm or Rooming House,Frame,1.5,1890,0,2372,6,2,2,0,7750,35000,2002
Residential,5330310000,3350 W RUSKIN ST,,11,4400,Cape Cod,Brick,1.0,1950,0,1149,1,3,1,0,4800,75000,2003
Residential,2090099100,4826 N 51ST BL,,1,1150,Cape Cod,Aluminum / Vinyl,1.0,1947,0,994,1,3,1,0,4200,22000,2003
Residential,1920011000,3706A W SHERIDAN AV,,1,1160,AP 1,Stucco,2.0,1905,0,2938,4,3,1,0,9480,125000,2003
Residential,1960104000,5545 N 12TH ST,,1,1220,Cape Cod,Brick,1.0,1951,0,1620,1,4,2,0,7800,148500,2003
Residential,5780032000,1504 W LEROY AV,,13,4660,Ranch,Brick,1.0,1956,0,986,1,3,1,0,10428,105000,2003
Residential,3600203000,1686 N ASTOR ST,,3,3240,Rm or Rooming House,Frame,2.0,1890,0,2360,8,1,2,0,4560,125000,2004
Residential,4590715000,1735 S 23RD ST,,8,4120,Cottage,Aluminum / Vinyl,1.0,1903,0,1156,1,2,1,0,2280,29000,2004
Residential,3881550100,2706 W STATE ST,,4,2300,AP 1,Frame,2.0,1895,0,3269,4,6,1,0,5668,115000,2004
Residential,3491731000,2915 W BROWN ST,,15,2420,AP 1,Frame,2.0,1899,0,3380,4,10,1,0,4520,70000,2005
Residential,3881805000,2813 W STATE ST,,4,2300,AP 1,Frame,2.0,1908,0,2775,4,4,1,0,4230,50000,2005
Residential,4330033000,1009 S 17TH ST,,12,4050,Rm or Rooming House,Frame,2.0,1889,0,2796,8,0,2,1,6450,109900,2005
Residential,4270505000,627 S 6TH ST,,12,4020,Rm or Rooming House,Frame,2.0,1889,0,1930,6,1,2,0,2950,55000,2005
Residential,3651439000,3210 W JUNEAU AV,,4,2300,Rm or Rooming House,Frame,2.0,1913,0,2872,7,3,2,2,4200,92000,2005
Residential,5490037000,554 W HOWARD AV,,13,4620,AP 1,Brick,2.0,1949,0,2430,4,6,1,0,5400,230000,2005
Residential,3881807000,2825 W STATE ST,,4,2300,AP 1,Frame,2.0,1890,0,3243,4,8,1,0,4150,77000,2005
Residential,2819989000,3276 N RICHARDS ST,,6,2900,AP 1,Frame,2.0,1905,0,3346,4,4,1,0,4551,110000,2005
Residential,4320666000,1030 W MINERAL ST,,12,4040,Rm or Rooming House,Frame,2.0,1900,0,2679,7,7,2,0,3500,97000,2005
Residential,4310204000,1100 S 4TH ST,,12,4020,AP 1,Frame,2.0,1880,0,3459,4,8,1,0,3500,180000,2006
Residential,3200820000,1631 E BELLEVIEW PL,,3,3190,AP 1,Stucco,2.0,1895,0,3208,4,5,1,0,3252,343100,2006
Residential,3230462200,2624 N 6TH ST,,6,2920,AP 1,Block,2.0,1956,0,1920,4,4,1,0,5250,48000,2006
Residential,3190406000,2565 N CRAMER ST,,3,3170,AP 1,Stucco,2.0,1916,0,2800,4,2,1,0,5080,250000,2006
Residential,3130309000,2823 N 2ND ST,,6,2930,Duplex O/S,Brick,2.0,1908,0,2646,2,6,2,0,6000,124100,2006
Residential,3881805000,2813 W STATE ST,,4,2300,Duplex O/S,Frame,2.0,1908,0,3466,2,6,4,0,4230,176800,2006
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2.0,1913,0,3476,4,9,1,0,5040,104000,2006
Residential,2480354000,4113 N 47TH ST,,7,1680,Cottage,Frame,1.0,1932,0,761,1,3,1,0,4680,31100,2006
Residential,2819989000,3276 N RICHARDS ST,,6,2900,AP 1,Frame,2.0,1905,0,3346,4,4,1,0,4551,216000,2006
Residential,3491731000,2915 W BROWN ST,,15,2420,AP 1,Frame,2.0,1899,0,4225,4,9,1,0,4520,135000,2006
Residential,4010200000,3421 W CLYBOURN ST,,4,2160,AP 1,Frame,2.0,1908,0,3380,4,4,1,0,5400,122000,2006
Residential,3890791000,2408 W HIGHLAND AV,,4,3040,Duplex O/S,Aluminum / Vinyl,2.0,1901,0,2898,2,6,4,0,3600,160900,2006
Residential,4590218000,1528 S 22ND ST,,8,4100,AP 1,Aluminum / Vinyl,2.0,1903,0,2880,4,6,1,0,4200,128750,2006
Residential,4340616000,917 S 24TH ST,,8,4050,AP 1,Aluminum / Vinyl,1.5,1892,0,2091,4,4,1,0,5600,155000,2006
Residential,3881609000,3011 W JUNEAU AV,,4,2300,AP 1,Frame,2.0,1901,0,2770,4,6,1,0,6160,185000,2006
Residential,2851404000,3353 N 24TH PL,,7,2960,AP 1,Frame,2.0,1913,0,2696,4,4,1,0,5504,86900,2007
Residential,4330033000,1009 S 17TH ST,,12,4050,Rm or Rooming House,Frame,2.0,1889,0,2796,7,7,2,1,6450,50000,2007
Residential,3230462200,2624 N 6TH ST,,6,2920,AP 1,Block,2.0,1956,0,1920,4,4,1,0,5250,42500,2007
Residential,50093000,9286 N BURBANK AV,,9,40,Colonial,Aluminum / Vinyl,2.0,2007,0,2237,1,4,2,1,11129,257000,2007
Residential,4351338000,2816 W NATIONAL AV,,8,4060,AP 1,Aluminum / Vinyl,2.0,1903,0,3552,4,7,1,0,5535,155000,2007
Residential,4351338000,2816 W NATIONAL AV,,8,4060,Duplex O/S,Frame,2.0,1903,0,3552,2,7,4,0,5418,189000,2008
Residential,1909765110,5529 W SILVER SPRING DR,,2,1140,Ranch,Frame,1.0,1962,0,1169,1,3,2,1,6351,64000,2008
Residential,2440062000,4242 N 17TH ST,,1,1620,Cape Cod,Stone,1.0,1938,0,1188,1,2,1,0,5838,103000,2009
Residential,2440054000,4315 N 17TH ST,,1,1620,Cape Cod,Aluminum / Vinyl,1.0,1951,0,1054,1,3,1,0,4797,73450,2009
Residential,2100815000,5037 N 51ST BL,,1,1140,Cape Cod,Aluminum / Vinyl,1.0,1950,0,998,1,3,1,0,5040,90000,2009
Residential,1920792000,5300 N 39TH ST,,1,1160,Cape Cod,Aluminum / Vinyl,1.0,1951,0,988,1,3,1,0,4800,63300,2009
Residential,1710621000,5615 N 38TH  ST,,1,900,Colonial,Aluminum / Vinyl,2.0,2004,0,1470,1,3,2,0,5945,107500,2009
Residential,2060871000,4957 N 24TH ST,,1,1340,Duplex N/S,Masonry / Frame,2.0,1949,0,2460,2,5,2,0,5400,95000,2009
Residential,2080017000,3721 W VILLARD AV,,1,1140,Residence O/S,Brick,1.5,1900,0,4507,1,5,1,1,6660,129000,2009
Residential,2500014000,4225 N 63RD ST,,2,1490,Cape Cod,Brick,1.0,1954,0,1456,1,3,1,1,5590,120900,2009
Residential,1770613000,8654-A W MEDFORD AV,,2,1020,Duplex N/S,Aluminum / Vinyl,1.5,1962,0,1875,2,5,2,0,6000,70000,2009
Residential,1779933130,5680 N 86TH PL,,2,1020,Ranch,Aluminum / Vinyl,1.0,1966,0,1379,1,3,1,1,8190,129900,2009
Residential,2261134000,6700 W HOPE AV,,2,1490,Ranch,Brick,1.0,1962,0,1361,1,3,1,1,5750,126500,2009
Residential,2250697000,4756 N 69TH ST,,2,1480,Ranch,Brick,1.0,1964,0,1334,1,3,1,1,5544,109000,2009
Residential,2260803000,4467 N 67TH ST,,2,1490,Ranch,Brick,1.0,1962,0,1334,1,3,1,1,5250,108000,2009
Residential,2250065000,4509 N 73RD ST,,2,1480,Ranch,Brick,1.0,1959,0,1288,1,3,2,0,5400,115000,2009
Residential,1500601000,10213 W MILL RD,,2,820,Ranch,Frame,1.0,1970,0,1120,1,4,1,1,8040,49000,2009
Residential,1880099000,7321 W SHERIDAN AV,,2,1380,Ranch,Frame,1.0,1955,0,864,1,3,1,0,6500,75000,2009
Residential,2130624000,8311 W HERBERT AV,,2,1400,Ranch,Aluminum / Vinyl,1.0,1957,0,864,1,3,1,0,6000,62500,2009
Residential,3170272000,2845 N HACKETT AV,,3,3060,Colonial,Stucco,3.0,1894,0,3255,1,3,2,1,4800,400000,2009
Residential,3551201000,2114 N OAKLAND AV,,3,3190,Cottage,Frame,1.0,1910,0,977,1,3,1,0,4080,137000,2009
Residential,3140166000,2813 N HUMBOLDT BL,,3,3330,Duplex O/S,Aluminum / Vinyl,2.0,1912,0,2152,2,4,2,0,4020,186500,2009
Residential,2811019000,3068 N FRATNEY ST,,3,2880,Duplex O/S,Aluminum / Vinyl,1.5,1908,0,1656,2,4,2,0,3600,130000,2009
Residential,3151027000,3054 N NEWHALL ST,,3,3150,Residence O/S,Aluminum / Vinyl,1.0,1909,0,1359,1,3,2,0,3600,190000,2009
Residential,3170285000,2848 N DOWNER AV,,3,3160,Residence O/S,Aluminum / Vinyl,2.0,1921,0,1248,1,3,1,0,4800,215000,2009
Residential,3020320000,3025 N 84TH ST,,5,2080,Cape Cod,Brick,1.0,1950,0,1338,1,3,1,1,5280,162250,2009
Residential,2620642000,3876 N 88TH ST,,5,2040,Cape Cod,Brick,1.0,1949,0,1284,1,3,1,0,7000,134900,2009
Residential,3020796000,2757 N 87TH ST,,5,2080,Cape Cod,Brick,1.0,1950,0,1201,1,2,1,0,5400,121600,2009
Residential,2530607000,4334 N 89TH ST,,5,1460,Cape Cod,Aluminum / Vinyl,1.0,1956,0,1176,1,4,2,0,5400,107000,2009
Residential,2930826000,3456 N 89TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1.0,1947,0,1165,1,4,1,0,5000,99900,2009
Residential,2920375000,7807 W LISBON AV,,5,2100,Cape Cod,Aluminum / Vinyl,1.0,1953,0,1144,1,3,1,0,4800,128000,2009
Residential,2631085000,7924 W KEEFE AV,,5,2040,Cape Cod,Stone,1.0,1950,0,989,1,2,1,0,7200,109500,2009
Residential,2530632000,4328 N 88TH ST,,5,1460,Duplex N/S,Masonry / Frame,2.0,1957,0,2234,2,6,2,0,5320,135000,2009
Residential,2610078000,3770-A N 97TH ST,,5,2100,Duplex N/S,Aluminum / Vinyl,1.5,1955,0,1995,2,5,2,0,5700,151000,2009
Residential,2630545000,3838 N 78TH ST,,5,2040,Ranch,Brick,1.0,1958,0,1110,1,3,1,1,4800,105000,2009
Residential,2730120000,3739 N 5TH ST,,6,2820,Milwaukee Bungalow,Frame,1.0,1922,0,1029,1,2,1,0,3968,89000,2009
Residential,2851444000,3324 N 27TH ST,,7,2960,Duplex O/S,Aluminum / Vinyl,1.5,1910,0,1729,2,6,2,0,4290,24000,2009
Residential,4360480000,1248 S 37TH ST,,8,4060,Residence O/S,Frame,2.0,1913,0,1364,1,3,1,0,3570,70000,2009
Residential,4340441000,1210 S 23RD ST,,8,4050,Residence O/S,Frame,1.0,1901,0,1256,1,3,1,1,4200,87000,2009
Residential,1170065000,8821 W DALLAS ST,,9,480,Colonial,Frame,2.0,1965,0,1591,1,4,1,1,11250,174000,2009
Residential,1170487000,9060 W ROCHELLE AV,,9,480,Colonial,Aluminum / Vinyl,2.0,1980,0,1455,1,3,1,1,11328,152900,2009
Residential,4090327000,9420 W ST PAUL AV,,10,2760,Cape Cod,Brick,1.5,1952,0,1435,1,2,1,1,5600,105000,2009
Residential,2890655000,3298 N 58TH ST,,10,1850,Cape Cod,Brick,1.5,1936,0,1276,1,2,1,1,5200,135000,2009
Residential,4060612000,170 N 73RD ST,,10,2720,Cape Cod,Aluminum / Vinyl,1.0,1948,0,1012,1,3,1,1,5160,146000,2009
Residential,3050489000,6926 W LOCUST ST,,10,1980,Colonial,Brick,2.0,1940,0,1556,1,4,1,2,4920,185000,2009
Residential,4040623000,5920 W ST PAUL AV,,10,2700,Dplx Bungalow,Aluminum / Vinyl,1.5,1924,0,1697,2,3,2,0,6000,126000,2009
Residential,3061216000,2772 N 55TH ST,,10,1860,Milwaukee Bungalow,Brick,1.0,1928,0,1853,1,4,1,1,4524,119900,2009
Residential,3291434000,2414 N 56TH ST,,10,2540,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1927,0,1025,1,3,1,0,4080,77000,2009
Residential,4200280000,218 S 66TH ST,,10,2710,Residence O/S,Aluminum / Vinyl,2.0,1919,0,1452,1,4,1,1,7440,158400,2009
Residential,4190362000,126 N 75TH ST,,10,2720,Residence O/S,Aluminum / Vinyl,1.0,1924,0,916,1,2,2,0,3240,132500,2009
Residential,5560529000,3543 S 57TH ST,,11,4420,Cape Cod,Brick,1.5,1941,0,1203,1,2,1,1,7930,128300,2009
Residential,5600230000,3675 S 85TH ST,,11,4350,Cape Cod,Aluminum / Vinyl,1.0,1938,0,1157,1,4,1,1,8040,152000,2009
Residential,5611831000,3616 S 96TH ST,,11,4340,Colonial,Aluminum / Vinyl,2.0,1992,0,2159,1,3,2,1,8062,282000,2009
Residential,5100172000,2870 S 34TH ST,,11,4000,Dplx Bungalow,Brick,1.5,1937,0,1859,2,3,2,0,5400,155000,2009
Residential,5330788000,3136 S 29TH ST,,11,4400,Milwaukee Bungalow,Brick,1.0,1932,0,1369,1,3,1,0,4800,157000,2009
Residential,5580960000,3731 S MASSACHUSETTS AV,,11,4330,Ranch,Aluminum / Vinyl,1.0,1961,0,1336,1,3,1,0,7150,176000,2009
Residential,5710504000,7206 W VAN BECK AV,,11,4430,Ranch,Aluminum / Vinyl,1.0,1979,0,1321,1,3,2,0,8040,185000,2009
Residential,5270312000,3407 S 78TH ST,,11,4340,Ranch,Brick,1.0,1958,0,1119,1,3,2,0,7625,167000,2009
Residential,5310442000,3237 S 49TH ST,,11,4420,Ranch,Brick,1.0,1953,0,1048,1,2,1,0,5050,120000,2009
Residential,4920106000,4508 W SUMAC PL,,11,4260,Ranch,Aluminum / Vinyl,1.0,1949,0,870,1,2,1,0,6650,116000,2009
Residential,5350779000,3218 S 16TH ST,,13,4520,Cape Cod,Brick,1.0,1950,0,1188,1,3,2,0,4725,115000,2009
Residential,5510015000,3552 S 19TH ST,,13,4520,Cape Cod,Aluminum / Vinyl,1.5,1946,0,1122,1,2,1,1,4880,140000,2009
Residential,5510458000,3622 S 17TH ST,,13,4520,Cape Cod,Aluminum / Vinyl,1.0,1943,0,971,1,3,1,0,5060,110000,2009
Residential,6440214000,2101 W MALLORY AV,,13,4780,Ranch,Brick,1.0,1966,0,1957,1,3,1,1,7104,228000,2009
Residential,6230718000,2501 W VOGEL AV,,13,4660,Ranch,Brick,1.0,1967,0,1414,1,3,1,1,7500,205000,2009
Residential,6900067000,2430 W ALVINA AV,,13,4860,Ranch,Aluminum / Vinyl,1.0,1959,0,1175,1,3,1,0,8480,98750,2009
Residential,6700213000,1416 W IONA TR,,13,4800,Ranch,Brick,1.0,1964,0,1122,1,3,1,1,7200,157500,2009
Residential,5401027000,1826 E FERNWOOD AV,,14,4610,Colonial,Aluminum / Vinyl,2.0,1954,0,1078,1,2,1,0,4720,148000,2009
Residential,5030435000,2770 S WENTWORTH AV,,14,4540,Duplex O/S,Aluminum / Vinyl,2.0,1910,0,2128,2,4,2,0,4235,217000,2009
Residential,4991838000,826 E CONWAY ST,,14,4910,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1924,0,973,1,3,1,0,2660,122500,2009
Residential,4661230000,2219 S MOUND ST,,14,4510,Residence O/S,Frame,1.5,1900,0,1340,1,3,2,0,4290,230000,2009
Residential,5400633000,2233 E OKLAHOMA AV,,14,4600,Residence O/S,Block,1.5,1920,0,1326,1,2,1,0,1710,95000,2009
Residential,2310288000,4536 N 24TH PL,,1,1620,Cape Cod,Brick,1.5,1938,0,1184,1,2,1,0,4900,97000,2009
Residential,2440906000,4209 N 14TH ST,,1,1620,Dplx Bungalow,Aluminum / Vinyl,2.0,1929,0,2429,2,6,2,0,5043,130000,2009
Residential,2320576000,4679 N 19TH PL,,1,1340,Duplex O/S,Brick,2.0,1943,0,1786,2,4,2,0,5440,47600,2009
Residential,1920543000,5432 N 37TH ST,,1,1160,Residence O/S,Aluminum / Vinyl,1.0,1923,0,1431,1,3,1,0,5400,68000,2009
Residential,2260572000,6556 W MEDFORD AV,,2,1490,Cape Cod,Brick,1.0,1955,0,1074,1,3,1,0,4800,89000,2009
Residential,2250708000,4641 N 68TH ST,,2,1490,Cape Cod,Aluminum / Vinyl,1.0,1956,0,1034,1,3,1,0,4800,90000,2009
Residential,1750470000,5712 N 73RD ST,,2,980,Colonial,Aluminum / Vinyl,2.0,1959,0,1428,1,3,1,1,4800,110000,2009
Residential,1760709000,5916 N 84TH ST,,2,980,Duplex N/S,Aluminum / Vinyl,2.0,1960,0,2070,2,6,2,0,6350,114900,2009
Residential,2120425000,4943 N 73RD ST,,2,1480,Ranch,Brick,1.0,1955,0,1115,1,2,1,0,8100,90000,2009
Residential,1450029000,6645 N 103RD ST,,2,820,Townhouse,Aluminum / Vinyl,2.0,1970,0,2785,2,6,2,2,9648,90500,2009
Residential,2800207000,3104 N HUMBOLDT BL,,3,3320,Duplex N/S,Brick,2.0,1946,0,2684,2,5,2,0,5520,174200,2009
Residential,3190501000,2527 N FREDERICK AV,,3,3170,Duplex O/S,Frame,2.0,1887,0,3352,2,5,2,1,5715,324000,2009
Residential,3170034000,3053 N SHEPARD AV,,3,3060,Residence O/S,Brick,2.0,1907,0,2849,1,5,3,1,6000,590000,2009
Residential,3030527000,3039 N 77TH ST,,5,2080,Cape Cod,Brick,1.5,1952,0,1568,1,3,2,0,4800,163500,2009
Residential,3030855000,2866 N 78TH ST,,5,2080,Cape Cod,Stone,1.0,1947,0,1425,1,4,1,0,4800,183000,2009
Residential,2930546000,3137 N 91ST ST,,5,2100,Cape Cod,Stone,1.0,1952,0,1408,1,3,1,0,7200,146000,2009
Residential,2930727000,3445 N 89TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1.0,1951,0,1036,1,3,1,1,5000,141600,2009
Residential,2620680000,3914 N 87TH ST,,5,2040,Cape Cod,Aluminum / Vinyl,1.0,1949,0,978,1,4,1,0,6700,79800,2009
Residential,2240684000,4422 N 77TH ST,,5,1470,Colonial,Aluminum / Vinyl,2.0,1960,0,1686,1,3,1,1,4800,142650,2009
Residential,2930805000,8914 W BURLEIGH ST,,5,2080,Colonial,Frame,2.0,1951,0,1540,1,3,1,1,5400,125000,2009
Residential,2630347000,3815 N 80TH ST,,5,2040,Ranch,Brick,1.0,1954,0,1282,1,3,1,0,6720,129800,2009
Residential,2169970112,10527 W STARK ST,,5,1040,Ranch,Aluminum / Vinyl,1.0,1962,0,1268,1,3,1,1,5508,137000,2009
Residential,1840050100,5360 N 107TH ST,,5,1040,Ranch,Aluminum / Vinyl,1.0,1956,0,1132,1,3,1,1,8990,130000,2009
Residential,2630467000,3943 N 78TH ST,,5,2040,Ranch,Aluminum / Vinyl,1.0,1955,0,978,1,3,1,0,6000,110000,2009
Residential,2930001000,3488 N 88TH ST,,5,2100,Triplex,Masonry / Frame,2.0,1954,0,2498,3,5,3,0,5960,174800,2009
Residential,2830597000,3148 N 12TH ST,,6,2850,Dplx Bungalow,Frame,2.0,1914,0,2425,2,6,2,0,5125,6678,2009
Residential,3141147000,401 E BURLEIGH ST,,6,2930,Duplex O/S,Brick,2.0,1914,0,3087,2,5,2,1,6050,37500,2009
Residential,2710762000,3570 N 14TH ST,,6,2860,Milwaukee Bungalow,Frame,1.0,1924,0,1696,1,4,1,0,4250,74516,2009
Residential,2670156000,3768 N 44TH ST,,7,1820,Cape Cod,Brick,1.0,1950,0,1598,1,4,2,1,6500,126500,2009
Residential,2660582000,3602 N 56TH ST,,7,1830,Cape Cod,Aluminum / Vinyl,1.0,1941,0,1272,1,3,1,0,4551,117500,2009
Residential,2270220000,4747 N 57TH ST,,7,1150,Cape Cod,Aluminum / Vinyl,1.0,1938,0,957,1,3,1,0,9507,95000,2009
Residential,3071044000,2739 N 48TH ST,,7,2510,Dplx Bungalow,Frame,2.0,1920,0,2208,2,4,2,0,5000,88000,2009
Residential,2280355000,4448 N 50TH ST,,7,1680,Ranch,Brick,1.0,1960,0,1442,1,4,2,0,5808,97000,2009
Residential,4580423000,2906 W BURNHAM ST,,8,4060,Dplx Bungalow,Aluminum / Vinyl,2.0,1921,0,2647,2,6,2,1,4800,125000,2009
Residential,4350307000,1019 S 32ND ST,,8,4060,Milwaukee Bungalow,Brick,1.0,1927,0,1493,1,4,2,1,3795,124600,2009
Residential,1391591000,6704 N 56TH ST,,9,560,Cape Cod,Brick,1.0,1958,0,1275,1,3,1,1,8910,96000,2009
Residential,1229910110,7030 N 44TH ST,,9,600,Cape Cod,Aluminum / Vinyl,1.0,1936,0,1262,1,4,2,0,10650,105000,2009
Residential,730366000,8263 N 106TH ST,,9,240,Ranch,Aluminum / Vinyl,1.0,1972,0,1140,1,3,1,1,8100,150000,2009
Residential,730303000,8338 N ANN ST,,9,240,Ranch,Aluminum / Vinyl,1.0,1976,0,906,1,3,1,1,8400,115000,2009
Residential,1740010000,5719 N 60TH ST,,9,960,Ranch,Aluminum / Vinyl,1.0,1954,0,672,1,2,1,0,6000,37000,2009
Residential,3040209000,2913 N 75TH ST,,10,2080,Cape Cod,Aluminum / Vinyl,1.0,1940,0,1128,1,3,2,0,5400,148900,2009
Residential,3040213000,2935 N 75TH ST,,10,2080,Cape Cod,Brick,1.5,1936,0,1109,1,2,1,0,5400,138900,2009
Residential,4180183000,111 S 79TH ST,,10,2720,Colonial,Aluminum / Vinyl,2.0,1988,0,2666,1,4,2,1,5600,325000,2009
Residential,3470092000,1751 N 49TH ST,,10,2540,Colonial,Frame,2.5,1912,0,2600,1,4,2,1,4680,249980,2009
Residential,3670647000,1426 N 50TH PL,,10,2600,Dplx Bungalow,Frame,1.5,1924,0,1665,2,3,2,0,3588,130000,2009
Residential,4200264000,327 S 65TH ST,,10,2710,Ranch,Brick,1.0,1948,0,778,1,2,1,0,4960,121500,2009
Residential,3680217000,1508 N 58TH ST,,10,2600,Residence O/S,Brick,1.0,1926,0,1427,1,3,1,1,5355,172000,2009
Residential,3850765000,4822 W WISCONSIN AV,,10,2660,Residence O/S,Stucco,1.5,1917,0,1398,1,3,1,1,6500,153900,2009
Residential,5259904110,3426 S 93RD ST,,11,4350,Cape Cod,Aluminum / Vinyl,1.5,1970,0,2032,1,5,1,2,7540,213000,2009
Residential,5320284000,3223 S 38TH ST,,11,4410,Cape Cod,Stone,1.5,1951,0,1940,1,3,2,0,6760,193000,2009
Residential,5120506000,2861 S 47TH ST,,11,4320,Cape Cod,Aluminum / Vinyl,1.5,1940,0,1197,1,3,1,1,4920,129000,2009
Residential,5120530000,2764 S 48TH ST,,11,4320,Cape Cod,Aluminum / Vinyl,1.0,1950,0,1176,1,3,1,0,4920,137000,2009
Residential,5301017000,3163 S 57TH ST,,11,4420,Cape Cod,Brick,1.0,1948,0,948,1,3,1,0,4760,112000,2009
Residential,5291413000,6310 W EUCLID AV,,11,4380,Duplex N/S,Aluminum / Vinyl,2.0,1953,0,1904,2,6,2,0,7038,163300,2009
Residential,5100145000,2842 S 35TH ST,,11,4000,Duplex O/S,Aluminum / Vinyl,1.0,1943,0,1550,2,4,2,0,6375,65000,2009
Residential,5151143000,7113 W BENNETT AV,,11,4240,Ranch,Brick,1.0,1954,0,1037,1,3,1,0,5635,136000,2009
Residential,5149984110,2744 S 68TH ST,,11,4240,Residence O/S,Aluminum / Vinyl,1.0,1928,0,1088,1,2,1,0,14300,110000,2009
Residential,5320137000,3453 S 38TH ST,,11,4410,Tudor,Brick,1.5,1937,0,1925,1,3,1,1,5040,231000,2009
Residential,4331008000,910 S 17TH ST,,12,4050,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1919,0,1118,1,5,1,0,4270,59000,2009
Residential,4600120000,1915 S 13TH ST,,12,4120,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1921,0,1076,1,4,1,0,3500,40000,2009
Residential,5490821000,3623 S 1ST PL,,13,4620,Cape Cod,Aluminum / Vinyl,1.0,1947,0,1210,1,3,1,0,3696,139900,2009
Residential,5800366000,4213 S 1ST PL,,13,4700,Cape Cod,Aluminum / Vinyl,1.0,1940,0,1195,1,3,1,0,4800,137500,2009
Residential,5950415000,220 W ALLERTON AV,,13,4740,Cape Cod,Brick,1.0,1955,0,1010,1,3,1,1,8050,135000,2009
Residential,5959959000,184 W MARTIN LA,,13,4740,Cottage,Aluminum / Vinyl,1.0,1939,0,1001,1,2,1,0,10395,125000,2009
Residential,6870682000,143 W GOLDLEAF AV,,13,4920,Ranch,Aluminum / Vinyl,1.0,1979,0,1268,1,3,1,1,6095,132000,2009
Residential,6680647000,5654 S 30TH ST,,13,4840,Ranch,Brick,1.0,1967,0,1199,1,3,1,1,7436,130000,2009
Residential,6890211000,6147 S 19TH CT,,13,4920,Ranch,Aluminum / Vinyl,1.0,1966,0,1012,1,3,1,1,7209,173000,2009
Residential,5529966000,3527 S 24TH ST,,13,4360,Ranch,Aluminum / Vinyl,1.0,1953,0,880,1,2,1,1,6579,118000,2009
Residential,5810221000,4035 S AUSTIN ST,,13,4700,Residence O/S,Aluminum / Vinyl,1.0,1915,0,1424,1,3,0,0,8100,147000,2009
Residential,5350909000,3345 S 16TH ST,,13,4520,Residence O/S,Aluminum / Vinyl,1.0,1923,0,1238,1,4,1,0,4000,121000,2009
Residential,5001004000,903 E LINCOLN AV,,14,4910,Cape Cod,Aluminum / Vinyl,1.5,1941,0,1346,1,4,1,1,4305,158500,2009
Residential,5400040000,3271 S SPRINGFIELD AV,,14,4610,Dplx Bungalow,Aluminum / Vinyl,2.0,1929,0,2695,2,4,2,0,4800,215400,2009
Residential,5410849000,3345 S DELAWARE AV,,14,4600,Residence O/S,Frame,2.0,1898,0,3148,1,4,3,0,7200,395000,2009
Residential,5000601200,2536 S DELAWARE AV,,14,4540,Residence O/S,Frame,1.0,1906,0,1896,1,4,2,0,3900,192500,2009
Residential,5000642100,2635 S DELAWARE AV,,14,4540,Residence O/S,Frame,2.0,1890,0,1636,1,4,2,0,4410,225000,2009
Residential,5400625000,2228 E EUCLID AV,,14,4600,Residence O/S,Prem Wood,1.0,1920,0,1332,1,3,2,0,3510,160000,2009
Residential,4660029000,2249 S ALDRICH ST,,14,4510,Residence O/S,Fiber-Cement,1.0,1890,0,1274,1,3,2,0,3200,158000,2009
Residential,5389935000,3447 S WHITNALL AV,,14,4580,Residence O/S,Brick,1.0,1930,0,1196,1,3,1,0,6400,155000,2009
Residential,3270563000,2421 N 40TH ST,,15,2380,Duplex O/S,Aluminum / Vinyl,2.0,1913,0,2502,2,6,2,0,4720,70000,2009
Residential,3281289000,2378 N 46TH ST,,15,2520,Milwaukee Bungalow,Frame,1.0,1918,0,1434,1,3,1,1,5000,40000,2009
Residential,3250607000,2025 W CENTER ST,,15,2940,Residence O/S,Aluminum / Vinyl,1.0,1895,0,1362,1,4,1,0,3600,30000,2009
Residential,1690013000,5673 N 27TH ST,,1,1200,Cape Cod,Brick,1.0,1955,0,1259,1,4,1,0,4960,125000,2009
Residential,1580219000,6021 N 36TH ST,,1,900,Duplex N/S,Brick,2.0,1954,0,1940,2,4,2,0,4840,121400,2009
