PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_price,Sale_year
Residential,1430101100,6673 N HASTINGS ST,,9,480,Ranch,Brick,1.0,1957,0,1384,1,4,2,0,9018,137000,2017
Residential,1229967141,7073 N 45TH ST,,9,600,Ranch,Aluminum / Vinyl,1.0,1992,0,1232,1,3,1,1,9150,115000,2017
Residential,1040055000,7503 N 52ND ST,,9,360,Ranch,Masonry / Frame,1.0,1958,0,1067,1,3,1,0,9375,119900,2017
Residential,730084000,8214 N ANN ST,,9,240,Ranch,Aluminum / Vinyl,1.0,1966,0,1062,1,3,1,1,10633,132000,2017
Residential,3040026000,7509 W BURLEIGH ST,,10,2080,Cape Cod,Brick,1.0,1950,0,1179,1,3,1,1,5400,97000,2017
Residential,4070655000,164 N 79TH ST,,10,2720,Cape Cod,Brick,1.0,1946,0,1135,1,3,1,1,4320,138900,2017
Residential,3050586100,2750 N HARTUNG AV,,10,1980,Colonial,Brick,2.0,1939,0,2187,1,3,2,1,5874,315000,2017
Residential,3470029000,2031 N 49TH ST,,10,2540,Colonial,Aluminum / Vinyl,2.0,1914,0,2130,1,3,2,1,4800,163000,2017
Residential,3469951000,2114 N 54TH ST,,10,2540,Colonial,Brick,2.0,1921,0,1426,1,3,2,0,2728,164500,2017
Residential,3050819000,6428 W MOLTKE AV,,10,1870,Colonial,Aluminum / Vinyl,1.5,1923,0,1260,1,3,2,0,3840,90000,2017
Residential,3860658000,1137 N 45TH ST,,10,2610,Dplx Bungalow,Aluminum / Vinyl,2.0,1927,0,2284,2,4,2,0,4800,115000,2017
Residential,3290791000,2570 N 60TH ST,,10,2540,Duplex N/S,Aluminum / Vinyl,2.0,1950,0,1585,2,3,2,0,4800,135000,2017
Residential,3680005000,1609 N 51ST ST,,10,2600,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1918,0,1961,1,4,2,0,5080,187500,2017
Residential,3670876000,1544 N 50TH ST,,10,2600,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1918,0,1718,1,5,2,1,4800,187500,2017
Residential,2890658000,3282 N 58TH ST,,10,1850,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1930,0,1249,1,4,1,1,5200,85000,2017
Residential,4161501000,145 S 92ND ST,,10,2760,Ranch,Brick,1.0,1954,0,1120,1,3,1,1,8288,122000,2017
Residential,4161529100,9327 W DIXON ST,,10,2760,Ranch,Brick,1.0,1954,0,955,1,3,1,0,6720,127500,2017
Residential,3060566000,5218 W LOCUST ST,,10,1860,Residence O/S,Aluminum / Vinyl,1.0,1924,0,1176,1,3,1,0,5640,54700,2017
Residential,4201079100,214 S 62ND ST,,10,2710,Residence O/S,Aluminum / Vinyl,1.5,1920,0,1093,1,3,1,1,5040,135000,2017
Residential,3460850000,1540 N 60TH ST,,10,2600,Residence O/S,Stucco,1.0,1924,0,1057,1,3,1,1,4800,159900,2017
Residential,4200658100,6403 W FAIRVIEW AV,,10,2700,Triplex,Aluminum / Vinyl,2.0,1925,0,2650,3,6,3,0,7750,164000,2017
Residential,4200853100,615 S 64TH ST,,10,2710,Triplex,Masonry / Frame,2.0,1960,0,2490,3,5,3,1,6192,165200,2017
Residential,4030620000,240 N PINECREST ST,,10,2680,Tudor,Brick,1.5,1930,0,2074,1,3,1,1,6161,232000,2017
Residential,5320519000,3206 S 42ND ST,,11,4410,Cape Cod,Stone,1.0,1949,0,1618,1,4,2,0,5160,158900,2017
Residential,4891243000,2640 S 71ST ST,,11,4240,Cape Cod,Aluminum / Vinyl,1.0,1953,0,1184,1,3,1,0,5000,141000,2017
Residential,5120468000,2848 S 49TH ST,,11,4240,Cape Cod,Aluminum / Vinyl,1.0,1949,0,1032,1,3,1,1,5208,143000,2017
Residential,5540085000,3791 S CENTENNIAL CR,,11,4425,Colonial,Fiber-Cement,2.0,2004,0,2372,1,3,2,1,6208,255000,2017
Residential,5710520000,7007 W VAN BECK AV,,11,4430,Colonial,Frame,2.0,1979,0,1870,1,3,2,1,10176,225600,2017
Residential,5121242000,3072 S 47TH ST,,11,4320,Colonial,Stone,2.0,1940,0,1846,1,3,1,2,5400,214000,2017
Residential,5560534000,3501 S 57TH ST,,11,4420,Colonial,Masonry / Frame,2.0,1938,0,1502,1,3,1,1,8580,137500,2017
Residential,5129998000,3053 S 49TH ST,,11,4240,Duplex N/S,Stone,2.0,1952,0,2534,2,4,2,0,7564,162000,2017
Residential,5590231000,3540 S 81ST ST,,11,4340,Duplex N/S,Masonry / Frame,1.5,1954,0,2212,2,4,2,1,10720,201000,2017
Residential,5330101000,3332 W MORGAN AV,,11,4400,Duplex N/S,Brick,1.5,1958,0,2188,2,5,2,0,5500,143000,2017
Residential,5151704000,6914 W OKLAHOMA AV,,11,4240,Duplex N/S,Aluminum / Vinyl,2.0,1953,0,1554,2,4,2,0,5750,112000,2017
Residential,5600343100,3711 S 91ST ST,,11,4350,Duplex O/S,Aluminum / Vinyl,2.0,1938,0,1892,2,3,2,0,7920,176300,2017
Residential,5121176000,3025 S 43RD ST,,11,4320,Milwaukee Bungalow,Brick,1.0,1929,0,1606,1,3,1,0,4680,129000,2017
Residential,5260179000,3316 S 87TH CT,,11,4340,Ranch,Brick,1.0,1963,0,1553,1,3,1,1,8676,188500,2017
Residential,5590635000,3728 S 78TH ST,,11,4340,Ranch,Aluminum / Vinyl,1.0,1957,0,1202,1,3,2,1,7623,184000,2017
Residential,5580418000,3746 S 69TH ST,,11,4330,Ranch,Brick,1.0,1958,0,1133,1,3,1,1,8100,150000,2017
Residential,5710139000,4029 S 74TH ST,,11,4340,Ranch,Aluminum / Vinyl,1.0,1956,0,1073,1,3,1,0,7383,169500,2017
Residential,5260642000,3261 S 90TH ST,,11,4340,Ranch,Brick,1.0,1960,0,1033,1,3,1,0,7560,173000,2017
Residential,5270278000,8136 W SUNBURY CT,,11,4340,Ranch,Aluminum / Vinyl,1.0,1957,0,1015,1,3,1,1,8100,130000,2017
Residential,5600354110,3750 S 92ND ST,,11,4350,Ranch,Aluminum / Vinyl,1.0,1962,0,968,1,3,1,0,5280,138000,2017
Residential,5570303000,3520 S 68TH ST,,11,4420,Ranch,Brick,1.0,1955,0,877,1,3,1,1,6840,110000,2017
Residential,5291008000,3433 S 67TH ST,,11,4380,Ranch,Aluminum / Vinyl,1.0,1953,0,864,1,2,1,0,6900,90000,2017
Residential,5530002000,3113 W MORGAN AV,,11,4400,Residence O/S,Aluminum / Vinyl,1.0,1934,0,1049,1,2,1,1,4200,98000,2017
Residential,5601371000,8820 W CRAWFORD AV,,11,4350,Residence O/S,Aluminum / Vinyl,1.0,1938,0,859,1,2,1,1,3600,125500,2017
Residential,5591930000,8119 W TRIPOLI AV,,11,4340,Townhouse,Aluminum / Vinyl,2.0,1975,0,2557,2,6,2,2,7200,199000,2017
Residential,4971267000,2326 S 12TH ST,,12,4160,Cottage,Aluminum / Vinyl,1.0,1900,0,1365,1,3,2,0,3720,70000,2017
Residential,4971249100,2347 S 10TH ST,,12,4160,Dplx Bungalow,Brick,2.0,1920,0,3220,2,6,2,0,7440,87500,2017
Residential,5810613000,4242 S BURRELL ST,,13,4700,Cape Cod,Stone,1.5,1939,0,1830,1,3,2,0,5040,189900,2017
Residential,5491716100,3658 S 5TH ST,,13,4700,Cape Cod,Brick,1.0,1950,0,1468,1,3,1,0,5408,108000,2017
Residential,5950521000,4500 S 5TH PL,,13,4740,Cape Cod,Brick,1.0,1957,0,1337,1,3,1,0,6150,147000,2017
Residential,5510115000,3807 S 13TH ST,,13,4520,Cape Cod,Aluminum / Vinyl,1.0,1950,0,1141,1,3,2,1,6150,107000,2017
Residential,5510316000,3542 S 16TH ST,,13,4520,Cape Cod,Brick,1.0,1949,0,1120,1,3,1,0,4704,121000,2017
