,CN,HT,SITREE,common_name,scientific_name
198423,15341238010497,110.0,69.0,white fir,Abies concolor
201609,15367831010497,20.0,30.0,California red fir,Abies magnifica
205301,15352939010497,114.0,46.0,California red fir,Abies magnifica
207632,15329235010497,119.0,35.0,California red fir,Abies magnifica
203913,15332388010497,80.0,87.0,California red fir,Abies magnifica
204970,15354220010497,106.0,27.0,California red fir,Abies magnifica
210240,15455417010497,30.0,42.0,California red fir,Abies magnifica
208900,15301240010497,72.0,68.0,California red fir,Abies magnifica
203054,15374731010497,80.0,28.0,California red fir,Abies magnifica
207635,15329238010497,21.0,35.0,California red fir,Abies magnifica
204942,15354192010497,66.0,27.0,California red fir,Abies magnifica
204678,15352392010497,29.0,57.0,California red fir,Abies magnifica
203186,15382878010497,7.0,24.0,California red fir,Abies magnifica
195744,15337536010497,125.0,85.0,California red fir,Abies magnifica
204536,15351983010497,119.0,34.0,California red fir,Abies magnifica
195745,15337538010497,67.0,85.0,California red fir,Abies magnifica
203891,15333103010497,52.0,36.0,California red fir,Abies magnifica
209789,15323233010497,106.0,60.0,California red fir,Abies magnifica
203927,15332403010497,20.0,87.0,California red fir,Abies magnifica
201073,15384552010497,63.0,45.0,California red fir,Abies magnifica
208756,15343872010497,147.0,48.0,California red fir,Abies magnifica
204671,15352385010497,37.0,57.0,California red fir,Abies magnifica
208891,15301231010497,100.0,68.0,California red fir,Abies magnifica
208761,15343877010497,125.0,48.0,California red fir,Abies magnifica
200125,15368943010497,116.0,97.0,California red fir,Abies magnifica
204960,15354210010497,39.0,27.0,California red fir,Abies magnifica
205338,15352976010497,130.0,46.0,California red fir,Abies magnifica
204552,15351999010497,110.0,34.0,California red fir,Abies magnifica
203888,15333100010497,43.0,36.0,California red fir,Abies magnifica
208326,15336131010497,97.0,57.0,California red fir,Abies magnifica
210771,15324660010497,10.0,63.0,California red fir,Abies magnifica
205928,15361838010497,150.0,30.0,California red fir,Abies magnifica
210243,15455420010497,94.0,42.0,California red fir,Abies magnifica
203921,15332396010497,37.0,87.0,California red fir,Abies magnifica
207628,15329231010497,44.0,35.0,California red fir,Abies magnifica
204683,15352397010497,108.0,57.0,California red fir,Abies magnifica
208877,15301217010497,109.0,68.0,California red fir,Abies magnifica
200136,15368954010497,81.0,97.0,California red fir,Abies magnifica
205638,15352732010497,140.0,82.0,California red fir,Abies magnifica
205799,15317116010497,124.0,37.0,California red fir,Abies magnifica
200138,15368956010497,105.0,97.0,California red fir,Abies magnifica
203856,15333068010497,37.0,36.0,California red fir,Abies magnifica
210766,15324655010497,22.0,63.0,California red fir,Abies magnifica
206224,15370773010497,39.0,61.0,California red fir,Abies magnifica
210234,15455411010497,14.0,42.0,California red fir,Abies magnifica
204532,15351979010497,97.0,34.0,California red fir,Abies magnifica
208869,15301209010497,84.0,68.0,California red fir,Abies magnifica
